Latitude;Longitude;OBJECTID;PONTO_RECOLHA_FREGUESIA;PONTO_RECOLHA_LOCAL;CONTENTOR_RESÍDUO;CONTENTOR_TIPO;CONTENTOR_CAPACIDADE;CONTENTOR_QT;CONTENTOR_TOTAL_LITROS
-9.151863405;38.71545391;137;Misericórdia;19216: R Marcos Portugal, Muro do Lg Agostinho da Silva;Lixos;CV0240;240;1;240
-9.151863405;38.71545391;138;Misericórdia;19216: R Marcos Portugal, Muro do Lg Agostinho da Silva;Vidro;CV0240;240;1;240
-9.151863405;38.71545391;139;Misericórdia;19216: R Marcos Portugal, Muro do Lg Agostinho da Silva;Embalagens;CV0240;240;1;240
-9.147549562;38.71123078;210;Misericórdia;19280: Tv André Valente, jt silo;Papel e Cartão;CV0140;240;3;720
-9.147549562;38.71123078;209;Misericórdia;19280: Tv André Valente, jt silo;Lixos;CV0240;240;9;2160
-9.147549562;38.71123078;208;Misericórdia;19280: Tv André Valente, jt silo;Embalagens;CV0240;240;2;480
-9.147549562;38.71123078;211;Misericórdia;19280: Tv André Valente, jt silo;Lixos;CV0140;240;9;2160
-9.147549562;38.71123078;207;Misericórdia;19280: Tv André Valente, jt silo;Vidro;CV0240;240;1;240
-9.144224007;38.70694488;233;Misericórdia;19301: R Remolares, Crzt Tv Remolares;Vidro;CV0240;1500;1;1500
-9.144224007;38.70694488;234;Misericórdia;19301: R Remolares, Crzt Tv Remolares;Vidro;CV0240;1500;1;1500
-9.144407318;38.71015909;265;Misericórdia;19315: R Emenda, 100;Vidro;CV0140;140;1;140
-9.144900544;38.71089346;231;Misericórdia;19300: R Salgadeiras, SFC CZT  R. da Atalaia;Lixos;CV0240;240;2;480
-9.144900544;38.71089346;232;Misericórdia;19300: R Salgadeiras, SFC CZT  R. da Atalaia;Lixos;CV0140;240;2;480
-9.143880634;38.70949707;66;Misericórdia;19407: Tv Guilherme Cossoul, 10;Papel e Cartão;CV0090;240;1;240
-9.143880634;38.70949707;67;Misericórdia;19407: Tv Guilherme Cossoul, 10;Embalagens;CV0090;240;1;240
-9.151388551;38.70873822;214;Misericórdia;19282: Lg Conde-Barão, 19;Papel e Cartão;CV0090;140;1;140
-9.151388551;38.70873822;213;Misericórdia;19282: Lg Conde-Barão, 19;Embalagens;CV0140;140;1;140
-9.153108561;38.71327215;180;Misericórdia;19257: R São Bento, 212;Vidro;CV0240;140;2;280
-9.153108561;38.71327215;181;Misericórdia;19257: R São Bento, 212;Vidro;CV0090;140;2;280
-9.153108561;38.71327215;182;Misericórdia;19257: R São Bento, 212;Vidro;CV0140;140;2;280
