Latitude;Longitude;OBJECTID;PONTO_RECOLHA_FREGUESIA;PONTO_RECOLHA_LOCAL;CONTENTOR_RESÍDUO;CONTENTOR_TIPO;CONTENTOR_CAPACIDADE;CONTENTOR_QT;CONTENTOR_TOTAL_LITROS
-9,143814518;38,7072547;574;Misericórdia;15866: R Nova do Carvalho (Ambos (33->55)(26->56): Tv dos Remolares - R do Alecrim);Lixos;CV0240;240;11;2640
-9,143814518;38,7072547;575;Misericórdia;15866: R Nova do Carvalho (Ambos (33->55)(26->56): Tv dos Remolares - R do Alecrim);Lixos;CV0140;140;1;140
-9,143814518;38,7072547;576;Misericórdia;15866: R Nova do Carvalho (Ambos (33->55)(26->56): Tv dos Remolares - R do Alecrim);Lixos;CV0240;240;11;2640
-9,143814518;38,7072547;577;Misericórdia;15866: R Nova do Carvalho (Ambos (33->55)(26->56): Tv dos Remolares - R do Alecrim);Papel e Cartão;CV0240;240;2;480
-9,143192661;38,70717901;578;Misericórdia;15867: R Nova do Carvalho (Ambos (1->29)(2->24): R do Alecrim - Tv Corpo Santo);Lixos;CV0090;90;2;180
-9,143192661;38,70717901;579;Misericórdia;15867: R Nova do Carvalho (Ambos (1->29)(2->24): R do Alecrim - Tv Corpo Santo);Lixos;CV0240;240;3;720
-9,143192661;38,70717901;580;Misericórdia;15867: R Nova do Carvalho (Ambos (1->29)(2->24): R do Alecrim - Tv Corpo Santo);Lixos;CV0140;140;3;420
-9,143192661;38,70717901;581;Misericórdia;15867: R Nova do Carvalho (Ambos (1->29)(2->24): R do Alecrim - Tv Corpo Santo);Lixos;CV0090;90;2;180
-9,143192661;38,70717901;582;Misericórdia;15867: R Nova do Carvalho (Ambos (1->29)(2->24): R do Alecrim - Tv Corpo Santo);Lixos;CV0240;240;3;720
-9,143192661;38,70717901;583;Misericórdia;15867: R Nova do Carvalho (Ambos (1->29)(2->24): R do Alecrim - Tv Corpo Santo);Lixos;CV0140;140;3;420
-9,144027836;38,70689253;584;Misericórdia;15868: R Remolares (Ambos (1->23)(2->26): Pc Duque da Terceira - Tv dos Remolares);Lixos;CV0090;90;1;90
-9,144027836;38,70689253;585;Misericórdia;15868: R Remolares (Ambos (1->23)(2->26): Pc Duque da Terceira - Tv dos Remolares);Lixos;CV0240;240;5;1200
-9,144027836;38,70689253;586;Misericórdia;15868: R Remolares (Ambos (1->23)(2->26): Pc Duque da Terceira - Tv dos Remolares);Lixos;CV0140;140;5;700
-9,144027836;38,70689253;587;Misericórdia;15868: R Remolares (Ambos (1->23)(2->26): Pc Duque da Terceira - Tv dos Remolares);Lixos;CV0090;90;1;90
-9,144027836;38,70689253;588;Misericórdia;15868: R Remolares (Ambos (1->23)(2->26): Pc Duque da Terceira - Tv dos Remolares);Lixos;CV0240;240;5;1200
-9,144027836;38,70689253;589;Misericórdia;15868: R Remolares (Ambos (1->23)(2->26): Pc Duque da Terceira - Tv dos Remolares);Lixos;CV0140;140;5;700
-9,144027836;38,70689253;590;Misericórdia;15868: R Remolares (Ambos (1->23)(2->26): Pc Duque da Terceira - Tv dos Remolares);Papel e Cartão;CV0140;140;2;280
-9,144478925;38,7070868;591;Misericórdia;15869: R Remolares (Ambos (25->41)(28->48): Tv dos Remolares - Tv Ribeira Nova);Lixos;CV0140;140;4;560
-9,144478925;38,7070868;592;Misericórdia;15869: R Remolares (Ambos (25->41)(28->48): Tv dos Remolares - Tv Ribeira Nova);Lixos;CV0120;120;2;240
-9,144478925;38,7070868;593;Misericórdia;15869: R Remolares (Ambos (25->41)(28->48): Tv dos Remolares - Tv Ribeira Nova);Lixos;CV0140;140;4;560
-9,144478925;38,7070868;594;Misericórdia;15869: R Remolares (Ambos (25->41)(28->48): Tv dos Remolares - Tv Ribeira Nova);Lixos;CV0120;120;2;240
